indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Indicadores Sectoriales de la Minería Metalífera,02,OK,0,3
1,Indicadores Sectoriales de Azúcar,03,OK,0,2
2,Indicadores Sectoriales Automotriz,04,OK,0,3
3,Indicadores Sectoriales de Carne Aviar,05,OK,0,3
4,Indicadores Sectoriales de Hidrocarburos,06,OK,0,3
5,Indicadores Sectoriales de Maquinaria Agrícola,08,OK,0,2
6,Indicadores Sectoriales de Servicios Turísticos,11,OK,0,1
7,Indicadores Sectoriales de Vitivinicultura,13,OK,0,2
8,Indicadores Sectoriales Forestales,14,OK,0,2
9,Indicadores Sectoriales de la Industria Farmaceútica,21,OK,0,2
10,Indicadores Sectoriales de Lácteos,22,OK,0,3
11,Indicadores Sectoriales de Manzana y Pera,23,OK,0,2
12,Indicadores Sectoriales de la Industria Metálicas Básicas,26,OK,0,2
13,Indicadores Sectoriales de Pesca Marítima,27,OK,0,3
14,Indicadores Provinciales Socioeconómicos,99,OK,0,2
