indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Población Beneficiaria del Sistema Nacional de Obras Sociales por Tipo de Beneficiario,c869a36d-9604-4b03-9652-e2b2206abc9f,OK,0,1
1,Población Beneficiaria del Sistema Nacional de Obras Sociales,7c044d68-9a2b-4bac-bffc-48f208e949c7,OK,0,1
2,Estadísticas de consultas e internaciones en establecimientos públicos SERIE 11,e236af2c-5d5f-4eaf-bf51-9b8f1cd33bea,OK,0,5
3,Estadísticas vitales SERIE 5,2aeccb4c-a1c3-4940-802e-c61482c1bca1,OK,0,5
4,Expresiones de voluntad para la donación,1537c5f8-5803-41e3-94b7-f236aceba0fb,OK,0,1
5,Pacientes en diálisis crónica,bca309cb-f057-48d1-8ac3-63ba28d98b38,OK,0,1
6,Pacientes en lista de espera,58771ff0-eee8-4e34-8eed-91f0df9cbfda,OK,0,1
7,Registro Nacional de Prestadores,d5666ee3-51ee-4149-8f25-db759a407ffa,OK,0,1
8,Certificado Único de Discapacidad,d1fca43e-cfbc-4c06-8b8f-d8828e629e21,OK,0,1
9,Sistema Nacional de Farmacovigilancia,76f0758c-a74f-483c-9937-e20dabe0b747,OK,0,1
10,Listado de faltantes de medicamentos,d9ebb3a9-ea4a-416c-be3c-0f51c82d5304,OK,0,1
11,Cosméticos. Listado de estabelecimientos.,30cbaed4-dadf-4044-8e30-3fbce0a48a6f,OK,0,1
12,"Productos Domisanitarios. Prod. destinados a limpieza, lavado, odorización, higienización del hogar.",4d9acee3-4288-4de8-aa24-657a105f37a5,OK,0,1
13,Vademecun Nacional de Medicamentos (VNM),4be028c3-d4ca-40e9-823c-2a0f159e9b2a,OK,0,1
14,Sistema de Información Federal para la Gestión del Control de los Alimentos (SIFeGA),b1ca32fc-922f-4d97-aa72-170965c99d7c,OK,0,1
15,Alimentos. Registro Nacional de Establecimientos (RNE),fe300dc7-2729-4e7f-a486-27ffe52517cd,OK,0,1
16,Estadísticas Nacionales de VIH/SIDA,ba70d1a2-ab0f-40f6-a7bd-da41d2d4e534,OK,0,1
17,Registro Federal de Droguerias (REDRO),11b7b107-17cf-4eb9-bfaf-4bcfcfc5d146,OK,0,1
18,Legislacion en Salud de la República Argentina (LEGISALUD),0b9a303e-3208-4618-a70a-5990ef8f87be,OK,0,1
19,Boletin integrado de vigilancia,20796b81-87f7-4f4e-9b62-cbd4c04d804c,OK,0,1
20,Registro Federal de Farmacias (REFAR),18494b24-f6b1-46fb-bee0-c1cbab850ff1,ERROR,1,1
21,Registro Federal de Establecimientos de Salud (REFES),41a6263e-8c84-41fc-90e0-32150e1d7620,OK,0,1
